city,site,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income
tawa,G-IP,540641.9852,5231492.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tawa_G-IP,22.9183147,61854.93099
tawa,G-JP,538601.6154,5233888.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tawa_G-JP,22.87180958,95182.40737
tawa,G-KP1,537186.1241,5235270.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,tawa_G-KP1,22.95471482,85539.50837
tawa,G-OTP,539634.655,5226175.363,0.001433897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998566103,0,0,0.45,0.318643852,0.764745244,0,0.01082111,0.001433897,0,0,0.001433897,0.001433897,0.001433897,0.998566103,tawa_G-OTP,23.14396329,63261.66211
tawa,G-SB,535535.1029,5238408.987,0.206362855,0,0,0,0.003152766,0.024362281,0,0,0,0.000286615,0,0,0,0,0,0.011464603,0.377472055,0,0,19.2825,1.273844782,41.65472437,115.7548585,1.080371927,0.233877902,0,0.000286615,0.233877902,0.234164517,0.24562912,0.377472055,tawa_G-SB,9.014933946,88465.95871
tawa,G-SERA,538536.0789,5227825.306,0.004311584,0,0,0,0,0.008335729,0,0,0,0.004024145,0,0,0,0,0.011497557,0,0.971830986,0,0,2.61,0.638753154,5.748778385,240,0.147366116,0.012647312,0,0.004024145,0.012647312,0.016671457,0.016671457,0.983328543,tawa_G-SERA,22.55733945,57432.90513
tawa,G-SP,539315.3894,5228726.658,0,0,0,0,0,0,0,0.003149155,0,0.024334383,0,0,0,0,0.041511595,0.005725737,0.92527913,0,0,1.74,1.908579063,16.41377994,289.5354356,0.317013009,0,0.003149155,0.024334383,0.003149155,0.027483539,0.033209276,0.966790724,tawa_G-SP,21.28215411,53926.46512
tawa,G-TCC1,536429.8556,5232689.869,0.024648897,0,0,0,0.002006306,0.003152766,0,0,0,0.002006306,0,0,0,0.003439381,0,0,0.964746346,0,0,5.535,0.636922391,8.980605713,457.9301257,0.152554844,0.029807968,0,0.002006306,0.029807968,0.031814273,0.035253654,0.964746346,tawa_G-TCC1,22.30993985,58709.04353
tawa,G-TNC1,538575.2916,5231997.198,0.038141669,0,0,0,0,0.00516203,0,0,0,0.002007456,0,0,0,0.004301692,0,0.001720677,0.948666475,0,0,5.37,0.955931555,14.91253226,270.8800749,0.202423162,0.043303699,0,0.002007456,0.043303699,0.045311156,0.051333525,0.948666475,tawa_G-TNC1,21.75560023,67820.88867
tawa,G-VP,536300.3095,5236384.202,0.047673751,0,0,0,0.064905227,0.069787478,0,0,0,0.003159104,0,0,0,0.001435956,0,0,0.770246984,0,0,29.295,0.638202821,21.15642351,60,0.649429086,0.182366456,0,0.003159104,0.182366456,0.18552556,0.186961516,0.770246984,tawa_G-VP,17.99770379,75114.91574
tawa,G-WLP1,539969.9995,5225219.927,0.019186712,0,0,0,0.002290951,0.002004582,0,0,0,0,0,0,0,0.01002291,0,0,0.966494845,0,0,2.6325,1.272750414,11.0729286,167.936718,0.146722862,0.023482245,0,0,0.023482245,0.023482245,0.033505155,0.966494845,tawa_G-WLP1,22.35518031,50495.05529
tawa,G-WP2,541017.226,5227349.368,0.013214594,0,0,0,0.009192761,0,0,0.050847458,0,0,0,0,0,0.008330939,0,0,0.900316001,0.018098248,0,8.52,0.95757924,22.88614383,206.4331698,0.371612892,0.022407354,0.050847458,0,0.073254812,0.073254812,0.081585751,0.900316001,tawa_G-WP2,20.63453815,65169.26563
tawa,P-BLP,554358.5156,5223380.982,0.036165327,0,0,0,0.005453502,0.084959816,0,0.001435132,0,0,0,0,0,0.001722158,0.000287026,0,0.860792193,0.009184845,0,4.068,3.189182294,41.7145044,86.11644428,0.439408096,0.126578645,0.001435132,0,0.128013777,0.128013777,0.129735936,0.861079219,tawa_P-BLP,19.86169297,68859.45677
