Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP115,SK,River otter,4/15/22,4,DSS,Seattle,47.51411,-122.30560,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP116,SK,River otter,4/15/22,4,DSS,Seattle,47.51411,-122.30560,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP117,SK,River otter,4/15/22,4,DSS,Seattle,47.51411,-122.30560,100,A,,,"still warm, fresh out of butt",,,,,,,,,,,,,,,,,,,,,,
UCP118,SK,River otter,4/15/22,4,DSS,Seattle,47.51411,-122.30560,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP119,SK,River otter,4/15/22,4,DSS,Seattle,47.51411,-122.30560,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP120,YH,River otter,4/6/22,4,GGC,Bellevue,47.60652,-122.16222,100,A,,rained on,anal jelly,Yes,,,,,,,,,,,,,,,,,,,,,
UCP121,YH,Coyote,4/6/22,4,MEP,Medina,47.62008,-122.23119,60,,,rained on,,,STL011,,,,,,,,,,,,,,,,,,,,
UCP122,YH,Coyote,4/6/22,4,MEP,Medina,47.61921,-122.22987,60,,,,4 - doglike,,STL012,,,,,,,,,,,,,,,,,,,,
UCP123,YH,River otter,4/6/22,4,GGC,Bellevue,47.60649,-122.16217,100,,,,3,,,,,,,,,,,,,,,,,,,,,,
UCP124,YH,River otter,4/6/22,4,GGC,Bellevue,47.60651,-122.16219,100,,,,2,,,,,,,,,,,,,,,,,,,,,,
UCP125,EL,River otter,4/6/22,4,BSW,Seattle,47.65252,-122.31757,100,C,,,tiny sample,,,,,,,,,,,,,,,,,,,,,,
UCP126,EL,River otter,4/6/22,4,BSW,Seattle,47.65252,-122.31757,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP127,EL,River otter,4/6/22,4,BSW,Seattle,47.65252,-122.31757,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP128,EL,River otter,4/6/22,4,BSW,Seattle,47.65252,-122.31757,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP129,EL,River otter,4/6/22,4,BSW,Seattle,47.65252,-122.31757,100,C,,,very hairy,,,,,,,,,,,,,,,,,,,,,,
UCP130,YH,Coyote,4/21/2022,4,KKA,Shoreline,47.77436,-122.39263,60,A,,,,,STL013,,,,,,,,,,,,,,,,,,,,
UCP131,YH,Coyote,4/21/2022,4,KKA,Shoreline,,,100,C,,,,,STL273,,,,,,,,,,,,,,,,,,,,
UCP132,YH,Coyote,4/21/2022,4,KKA,Shoreline,47.78415,-122.38890,100,C,,very old,,,STL014,,,,,,,,,,,,,,,,,,,,
UCP133,YH,River otter,4/21/2022,4,GGP,Seattle,47.69436,-122.40418,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP134,YH,River otter,4/21/2022,4,GGP,Seattle,47.69436,-122.40418,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP135,YH,River otter,4/22/22,4,LBP,Mercer Island,47.59284,-122.22511,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP136,YH,River otter,4/22/22,4,LBP,Mercer Island,47.59284,-122.22511,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP137,YH,River otter,4/22/22,4,LBP,Mercer Island,47.59284,-122.22511,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP138,YH,River otter,4/22/22,4,LBP,Mercer Island,47.59284,-122.22511,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP139,YH,River otter,4/22/22,4,LBP,Mercer Island,47.59284,-122.22511,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP140,YH,River otter,4/22/22,4,LBP,Mercer Island,47.59284,-122.22511,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP141,YH,Raccoon,4/22/22,4,LBP,Mercer Island,47.59329,-122.22856,60,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP142,YH,River otter,4/22/22,4,LWM,Seattle,47.56326,-122.26579,100,B,,,anal jelly,Yes,,,,,,,,,,,,,,,,,,,,,
UCP143,YH,River otter,4/22/22,4,LWM,Seattle,47.56326,-122.26579,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP144,YH,River otter,4/22/22,4,LWM,Seattle,47.56326,-122.26579,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
