station,season,species,photodate,phototime
DRP2,Fall19,Procyon lotor,2019-10-17,04:32:47
DRP2,Fall19,Procyon lotor,2019-10-18,05:11:49
DRP2,Fall19,Procyon lotor,2019-10-19,06:22:48
DRP2,Fall19,Procyon lotor,2019-10-19,06:24:20
DRP2,Fall19,Procyon lotor,2019-10-20,01:45:40
DRP2,Fall19,Procyon lotor,2019-10-20,01:48:05
DRP2,Fall19,Procyon lotor,2019-10-20,01:49:11
DRP2,Fall19,Procyon lotor,2019-10-20,04:47:15
DRP2,Fall19,Procyon lotor,2019-10-20,05:26:55
DRP2,Fall19,Procyon lotor,2019-10-21,02:48:47
DRP2,Fall19,Procyon lotor,2019-10-22,01:32:24
DRP2,Fall19,Procyon lotor,2019-10-22,04:31:26
DRP2,Fall19,Procyon lotor,2019-10-22,04:54:49
DRP2,Fall19,Procyon lotor,2019-10-22,05:01:16
DRP2,Fall19,Procyon lotor,2019-10-22,06:08:13
DRP2,Fall19,Procyon lotor,2019-10-22,06:10:42
DRP2,Fall19,Procyon lotor,2019-10-22,07:09:54
DRP2,Fall19,Procyon lotor,2019-10-22,07:29:40
DRP2,Fall19,Procyon lotor,2019-10-22,18:31:13
DRP2,Fall19,Procyon lotor,2019-10-22,18:41:14
DRP2,Fall19,Procyon lotor,2019-10-22,22:01:25
DRP2,Fall19,Procyon lotor,2019-10-22,23:12:11
DRP2,Fall19,Procyon lotor,2019-10-23,20:42:23
DRP2,Fall19,Procyon lotor,2019-10-23,23:59:20
DRP2,Fall19,Procyon lotor,2019-10-24,00:07:06
DRP2,Fall19,Procyon lotor,2019-10-27,03:35:26
DRP2,Fall19,Procyon lotor,2019-10-04,05:20:00
DRP2,Fall19,Procyon lotor,2019-10-04,05:46:55
DRP2,Fall19,Procyon lotor,2019-10-05,05:05:25
DRP2,Winter20,Procyon lotor,2020-01-08,22:27:57
DRP2,Winter20,Procyon lotor,2020-01-18,00:44:21
DRP2,Winter20,Procyon lotor,2020-01-18,01:26:49
DRP2,Winter20,Procyon lotor,2020-01-09,05:01:09
DRP2,Winter20,Procyon lotor,2020-01-09,05:04:56
DRP2,Winter20,Procyon lotor,2020-01-09,05:14:11
DRP2,Winter20,Procyon lotor,2020-01-09,06:30:25
DRP2,Winter20,Procyon lotor,2020-01-20,05:32:23
DRP2,Winter20,Procyon lotor,2020-01-20,05:48:10
DRP2,Winter20,Procyon lotor,2020-01-09,06:34:27
DRP2,Winter20,Procyon lotor,2020-01-09,06:42:29
DRP2,Winter20,Procyon lotor,2020-01-23,00:03:11
DRP2,Winter20,Procyon lotor,2020-01-23,00:10:07
DRP2,Winter20,Procyon lotor,2020-01-23,04:29:52
DRP2,Winter20,Procyon lotor,2020-01-23,19:15:48
DRP2,Winter20,Procyon lotor,2020-01-24,05:49:28
DRP2,Winter20,Procyon lotor,2020-01-24,19:39:16
DRP2,Winter20,Procyon lotor,2020-01-25,07:38:49
DRP2,Winter20,Procyon lotor,2020-01-25,11:39:52
DRP2,Winter20,Procyon lotor,2020-01-09,20:13:04
DRP2,Winter20,Procyon lotor,2020-01-10,22:00:09
DRP2,Winter20,Procyon lotor,2020-01-28,21:36:09
DRP2,Winter20,Procyon lotor,2020-01-10,22:22:34
DRP2,Winter20,Procyon lotor,2020-01-10,22:32:29
DRP2,Winter20,Procyon lotor,2020-01-12,03:56:52
DRP2,Winter20,Procyon lotor,2020-01-13,20:58:16
DRP2,Winter20,Procyon lotor,2020-01-13,21:06:28
DRP2,Winter20,Procyon lotor,2020-01-13,21:29:54
DRP2,Winter20,Procyon lotor,2020-01-14,21:26:56
DRP2,Winter20,Procyon lotor,2020-01-08,18:53:01
DRP2,Winter20,Procyon lotor,2020-01-16,06:10:28
DRP2,Winter20,Procyon lotor,2020-01-16,18:39:20
DRP2,Winter20,Procyon lotor,2020-01-16,19:41:47
DRP2,Winter20,Procyon lotor,2020-01-08,18:56:30
DRP2,Winter20,Procyon lotor,2020-01-08,22:18:10
DRP2,Spring20,Procyon lotor,2020-04-12,20:09:24
DRP2,Spring20,Procyon lotor,2020-04-12,21:09:58
DRP2,Spring20,Procyon lotor,2020-04-16,03:56:34
DRP2,Spring20,Procyon lotor,2020-04-16,20:05:32
DRP2,Spring20,Procyon lotor,2020-04-18,05:04:48
DRP2,Spring20,Procyon lotor,2020-04-18,05:41:43
DRP2,Spring20,Procyon lotor,2020-04-18,05:56:07
DRP2,Spring20,Procyon lotor,2020-04-18,05:58:53
DRP2,Spring20,Procyon lotor,2020-04-19,04:53:07
DRP2,Spring20,Procyon lotor,2020-04-19,05:01:07
DRP2,Spring20,Procyon lotor,2020-04-19,19:47:01
DRP2,Spring20,Procyon lotor,2020-04-19,19:53:40
DRP2,Spring20,Procyon lotor,2020-04-19,20:05:46
DRP2,Spring20,Procyon lotor,2020-04-19,20:07:12
DRP2,Spring20,Procyon lotor,2020-04-21,03:00:38
DRP2,Spring20,Procyon lotor,2020-04-21,05:15:21
